课程名,课程编号,课序号,学分,任课教师,上课地点,上课日期,上课时间,课程介绍,起始周,结束周,开课院系
软件工程,$44100203$,0,3,刘璘,???,Thursday,$4-2$,"软件工程是一门涉及软件系统开发与维护的学科，重点讲授如何可靠而有效地研发软件系统、经济地控制开发与维护的成本、更好地满足客户的需求等问题。本课程结合当前软件工程的理论和实践，介绍软件工程的基本概念、技术方法和实践原则，论述当前典型的软件开发过程模型，讨论人员组织与管理、项目规划与变更控制、质量管理、成本估算、配置管理等内容，从初始的需求导出到设计、开发和测试等软件生命周期的各个重要方面，论述需求工程、体系结构设计、用户界面设计、软件设计、软件测试和软件进化等方面的不同软件工程技术，其中重点讨论面向对象技术，介绍组件技术和形式化方法。结合课程实践项目的开发，使学生能够掌握软件项目管理和团队开发的工作方法，建立软件开发的系统化和工程化观念，真正学会运用软件工程的思想和现代技术。",1,16,软件学院
专业课程实践,$44100502$,0,2,王朝坤,???,Tuesday,$2-1$,"课程结合软件工程专业各方向的实际科研和工程项目，让学生综合运用所学知识，参与软件系统的整体规划，独立完成模块的需求分析、概念设计、详细设计、实现、测试、实施、产业化等一个或多个阶段。 1、正确理解工程项目的生命周期； 2、基本掌握软件系统的整体规划方法； 3、基本掌握一个模块的需求调研、需求分析、系统设计方法； 4、基本掌握软件系统的测试与实施常用方法； 5、基本掌握软件系统相关文档的编写技巧； 6、初步了解软件产品化过程。",1,16,软件学院
大数据系统软件,$44100512$,0,2,宋韶旭,???,Tuesday,$2-4$,"《大数据系统软件》是针对软件工程专业学生开设的专业选修课，本课程涵盖与大数据系统相关的软件工程专业知识，从软件的角度，讲解大数据系统的分布式原理与设计，使得学生具备扎实的理论基础。同时，课程以真实的大数据系统软件为载体，通过项目大作业的形式，培养学生对大数据系统的使用能力、开发能力以及实验能力。",1,16,软件学院
物联网导论,$44100532$,0,2,王继良,???,Wednesday,$3-4$,"本课程主要讲授物联网相关知识和应用。包括基础知识和系统实践两个部分，基础知识部分强调物联网基础技术及其原理，系统实践部分强调实际系统的理解和实现。通过该课程的学习，学生能够了解物联网平台的原理和技术，学习如何从硬件到软件和协议搭建基本的物联网平台，为后续工作和科研打下基础。课程注重理论和技术的结合以及实际技术的应用，课上将会探讨物联网相关技术和最新的情况，讨论物联网相关技术发展趋势和应用前景。",1,16,软件学院
机器学习,$44100552$,0,2,龙明盛,???,Monday,$1-4$,"机器学习是一门研究如何让计算机无需显式编程就能有效工作的科学。在过去十年中，机器学习为人们带来了自动驾驶汽车、语音识别、机器翻译、人脸识别、网络搜索、推荐系统及对人类基因组更深入的理解。很多研究者认为机器学习是推进实现人工智能的最佳途径。本课程将系统地讲解机器学习，覆盖基本原理、经典模型、高效算法与应用实践。内容包括：1. 监督学习（线性模型、支持向量机、决策树、Boosting）；2. 无监督学习（聚类、量化、降维、稀疏编码）；3. 强化学习（MDP、蒙特卡洛、时间差分、值函数近似、策略梯度、演员评委模型）；4. 学习理论（PAC学习、泛化界、偏差方差分解）。本课程将通过数学推导和编程实践，帮助学生使用机器学习技术解决数据科学和人工智能中的具体应用问题。",1,16,软件学院
计算机组成原理,$44100573$,0,3,杨铮,???,Monday,$1-2$,"计算机组成原理课程是软件工程专业的本科生专业主修课，重点讲解计算机体系结构的设计与实现，这部分内容是了解计算机如何工作、软件如何运行的核心基础。 本课程内容包括计算机中的信息表示、程序的机器级表示、处理器体系结构、存储器体系结构、程序性能优化等。通过本课程的学习，学生可以理解计算机体系结构的基本概念和设计原则，掌握计算机高可靠、高效运行的基本实现方式和方法，并通过编程实践让同学们熟练掌握计算机程序设计、调试、性能优化等技能。",1,16,软件学院
汇编与编译原理,$44100593$,0,3,王朝坤,???,Tuesday,$2-2$,"作为一门理论和实践并重的课程，本课程将介绍汇编语言的基本构成（指令、伪指令等）和汇编程序设计的基本方法，以及编译程序设计和实现的原理。内容包括汇编语言基础、屏幕与键盘操作、数据操作、高级输入／输出、中断与端口、运算符与指令、PC指令系统、词法分析程序和语法分析程序的自动构造理论、语义分析基础、目标代码运行时的存储组织策略、代码生成和优化等。 通过学习汇编语言程序设计的基本方法与高级语言编译程序的设计原理、完成课程实验，学生应该具有使用汇编语言编写程序的能力，对顺序、分支、循环三大程序结构在汇编语言中的实现方法有较好的掌握，对模块化程序设计技术有进一步的了解，增强价值塑造与能力培养，同时清楚地理解一个编译程序是如何工作的，掌握编译器的基本概念、原理、技术和工具，熟悉编译器实现中的基本算法并会编程实现，掌握通过自动化工具生成词法分析器和语法分析器的基本技能，并培养艰苦奋斗、软件报国情怀。",1,16,软件学院
计算机动画的算法与技术,$44100642$,0,2,徐枫,???,Tuesday,$2-2$,"本课程向学生介绍计算机动画技术及与其相关的算法和技术，包括比较基础的用于表达三维运 动对象的网格相关技术和用于渲染动画的三维相机成像模型，以及针对不同运动对象，不同应 用场景的各种动画技术，主要有：基于物理的动画、人脸动画、骨架动画、空间变形动画、关 键帧动画、基于视频的动画等。",9,16,软件学院
计算机图形学基础,$44100652$,0,2,张慧,???,Tuesday,$2-2$,"本课程旨在介绍计算机图形学的基本概念、理论、方法和系统。讲课内容包括：光栅图形 学、真实感图形学、形体在计算机中的基本表示方法等三大部分，具体包括：概述、光栅扫 描显示系统、图形的扫描转换与区域填充、裁剪、图形变换和投影、消隐、OpenGL、颜色视 觉、光照明模型、阴影和纹理、曲线和曲面、三维实体的表示。通过讲课和实验，既向学生 传授图形学的经典方法和最新成果，也注重培养学生动手实践能力。",1,8,软件学院
模型驱动的软件开发,$44100662$,0,2,姜宇,???,Tuesday,$2-3$,"本课程主要面向软件工程专业高年级本科生。课程覆盖当前模型驱动的软件系统设计理论和 实践。课程将围绕当前软件工程中的模型驱动的研发最新技术进展，详细讲解这些技术如何 被用于辅助开发人员用模型描述系统需求，如功能需求、性能需求等；详细讲解这些技术如 何被用于模型的仿真和验证及代码生成。本课程主要分为两阶段：第一阶段重点讲解如何利 用自动机、数据流、等建模方法，对系统的同步异步通信，层次结构进行建模。第二阶段重 点讲解如何利用模型验证，代码生成技术，对模型进行验证并自动生成系统代码。",1,16,软件学院
大数据系统基础（B）,$64100033$,200,3,王智,???,Tuesday,$2-6$,"大数据是一门交叉学科。本门课程作为大数据方向硕士两门信息类公共基础课之一，与大数据系统基础I课程衔接，重点介绍大数据管理的工具平台、开发环境、基本原理。使得学生熟悉典型大数据工具与平台的特性，掌握大数据处理的基本开发方式，巩固和加深大数据分析的基础知识。 本课程的主要内容包括： 大数据软件栈、虚拟化、系统管理、数据清洗、数据存储、处理框架、内存计算、文档数据、NoSQL/NewSQL数据库、图数据、流数据、分析框架、数据分割、以及一致性。",1,16,软件学院
大规模多媒体信息管理与检索,$74100202$,0,2,丁贵广,???,Wednesday,$3-6$,"本课程以大规模多媒体信息管理和检索作为核心内容，系统地介绍了多媒体数据的表示、云数据存储、分布式计算技术的基本理论和方法，并对多媒体管理和检索的前沿研究方向进行了回顾与展望。具体包括如下内容：概述多媒体数据的表示和多媒体管理和检索技术的基本概念和关键技术；详细介绍图像和音视频的感知特征提取方法、相似性度量方法、基于核的高维索引方法、语义标注方法、个性化推荐方法、并行数据挖掘方法和多媒体信息检索的国际标准等；接下来主要讲述大规模多媒体信息的管理与检索的系统实现技术，包括云数据存储技术、分布式系统中的并行算法设计、搜索引擎体系结构设计等；最后讲述大规模多媒体信息管理与检索技术中较成熟的应用系统和最新研究热点，包括：数字图书馆、图片视频搜索引擎技术、移动多媒体搜索技术和云数据管理技术等。 在以上教学内容的基础上我们还安排了基于云环境的多媒体管理与检索实验，希望以此提高同学们的动手能力并增进他们对所学知识的理解与应用。",1,16,软件学院
服务系统构建与应用,$74108012$,0,2,刘璘,???,Sunday,$7-6$,"软件服务是桥接业务服务与信息服务的基础，是现代服务业创新的使能工具。本门课程是面向工程与管理交叉综合型人才开设的研究生研讨课，主要内容围绕面向服务的架构，业务服务分析方法与工具，服务流程建模、服务集成、组合与管理方面的创新思路与最新实践。旨在回答如何利用软件技术与信息服务有效创建、运营与管理企业业务服务。内容包括：业务理解、服务建模、服务实现、服务部署、服务搜索、服务组合、服务提供、服务监测、服务优化与服务管理。",1,16,软件学院
软件需求工程,$84100102$,0,2,刘璘,???,Wednesday,$3-6$,"软件需求工程的目标是识别现实世界中待解决的问题、可改进的方面、可把握的机会，认知问题的范围，并明确刻画出要通过软件技术有效解决的目标问题，设计出解决方案，并分析和确认方案可行性和有效性。软件需求工程是软件工程专业系列核心课程之一，培养学生的软件问题定义与软件系统需求分析能力。课程主要介绍需求工程过程、需求抽取技术、需求建模与分析方法、需求文档化与验证等内容，结合需求工程案例介绍需求工程方法学。围绕各教学重点介绍本领域的最新研究进展，带领学生实践工业界采用的最新技术、过程、方法和工具。目的是为后续的软件设计、软件测试、软件演化与维护等软件工程活动提供上游输入。课程教学内容具有基础性、实践性和前沿性。",1,16,软件学院
应用密码学,$84100182$,0,2,赵曦滨,???,Monday,$1-6$,"本课程主要讲述公钥密码体制。通过本课程学习可以掌握关键密码技术，例如数字签名，身份认证等。课程的内容包括： 1、密码学概论。（2学时） 2、欧几里得算法。（2学时） 3、数论基础。（4学时） 4、孙子定理；RSA密码体制。（4学时） 5、Hash及对称密钥。（2学时） 6、群、环、域。（2学时） 7、有限域及其性质（4学时） 8、IP安全。（2学时） 9、高级加密标准。（2学时） 10、常用网络安全协议简介。（2学时） 11、大作业基础知识点普及：实时以太网。（6学时）",1,16,软件学院
软件形式化验证,$84100192$,0,2,贺飞,???,Monday,$1-3$,"随着软件系统规模和复杂性的不断增大，传统的非形式化的规格说明及一般的软件测试方法越来越难以满足软件系统的正确性要求。当前国际上普遍从形式化方法寻求解决该问题的途径。本课程主要介绍形式化验证的基本方法及理论，覆盖从系统建模、规约说明到模型检测验证算法等内容。本课程还将结合实际项目和工具讲解形式化验证技术在软件开发中的具体应用。",1,16,软件学院
数据质量,$84100212$,0,2,李振华,???,Tuesday,$2-6$,"人类社会的进化发展已经从信息技术（Information Technology、IT）时代步入数据技术（Data Technology、DT）时代，数据不再被看作企业运营的辅助性支持材料，而被当成企业运营的一种核心产品。数据中的错误、冲突以及非一致性所带来的开销和风险直接影响到企业的生存与繁荣，尤其是近年来互联网的大规模普及进一步加速了错误数据的产生与传播、极其容易造成虚假的分析结论和扭曲的社会影响。因此，如何理解、评估、控制、改进数据质量成为一个重要的研究课题和实践内容，在统计、管理、计算机科学等领域得到广泛关注。本课程侧重数据质量问题的技术层面，兼顾部分管理知识，主要涵盖数据质量的基本概念与行业背景、数据质量评估的一般过程、数据质量控制的科学方法、以及多种环境下的数据质量分析与优化案例。本课程不仅介绍现有的技术与方法，同时也注重探索数据质量研究的一些最新成果。",1,16,软件学院
网络测量与分析技术,$84100232$,0,2,何源,???,Wednesday,$3-1$,"本课程的讲授方式以课堂教学与研讨相结合。通过分享计算机网络领域前沿的科研成果和探讨该领域的开放性科学问题，开拓同学们的研究视野，提升科研素养，为开展计算机网络相关的研究工作奠定扎实基础。 网络测量和分析作为监控、理解和认识网络行为，并进而优化和重新规划网络结构以及改善网络服务质量的重要手段，受到了越来越多的研究人员的关注和网络运维管理人员的重视，网络测量与分析技术成为当前计算机网络领域重要的研究热点之一。本课程讲授网络测量和分析技术的基础知识，网络基础设施和架构测量，网络性能测量分析、网络可靠性、可用性与安全性的测量分析，网络测量分析技术的具体应用，网络测量与分析的最新研究成果等。",1,8,软件学院
数字几何处理,$84100272$,0,2,刘玉身,???,Tuesday,$2-5$,"随着三维扫描获取技术的快速发展，数字几何已经成为一种新的数字媒体，并得到广泛应用。本课程以三维形状理解和分析为背景，介绍数字几何处理的相关理论和方法。通过课堂讲授和相关算法的实现，使学生了解数字几何处理的基本问题以及相关方法，掌握基本理论，进而具备能够独立开展数字几何处理相关课题的研究能力。本课程主要内容包括：（1）三维物体的数字化表征与描述，如三维网格模型的表征方式与数据结构，三维物体的几何特征描述，包括多种全局性描述和局部性描述；（2）三维物体的处理方法，如三维物体表面的参数化、滤波、距离度量和多个三维物体的对齐等；（3）相关机器学习方法在三维形状的理解和分析中的应用，如无监督学习和有监督学习在模型的检索、识别、分割和对应；（4）基于深度学习的数字几何分析，包括DNN、CNN、RNN和GAN等深度学习方法及其在数字几何分析中的应用。课程让学生在全面了解数字几何处理领域的基本认识和最新成果的同时，通过专题汇报讨论、课程大作业等环节培养学生主动学习和实践能力。",1,16,软件学院
嵌入式系统建模与分析技术,$84100282$,0,2,贺飞,???,Monday,$1-2$,"本课程面向软件工程和计算机专业研究生开设，主要介绍的嵌入式系统设计过程中涉及的建模和分析技术。本课程覆盖的内容包括：嵌入式系统的计算模型，包括有限状态机、混成自动机、偏微分方程等；嵌入式系统的设计流程，包括处理器、存储架构、输入输出、多任务、调度等；嵌入式系统分析技术，包括时序逻辑、等价性验证、精化验证、可达性分析、模型检测等。",1,16,软件学院
领域特定语言设计,$84100293$,0,3,姜宇,???,Tuesday,$2-6$,"本课程介绍领域特定语言设计的原理、方法和具体实践技术；采用原理讲解、案例分析和实践相结合的教学方法。 课程首先介绍领域特定语言的相关知识，如领域建模、常见领域特定语言、分类及特点；然后通过一个简单的领域特定语言实例，展现给学生基本的领域特定语言表现形式、表达能力和实现方法；接下来课程将介绍领域特定语言在软件生命周期中的用法，以及基本的领域特定语言设计方法和技术。通过这些内容的讲解，学生将了解到领域特定语言及设计的必备知识和用法。 课程接下来将结合实践，分别讲解内置式语言和外置式语言的具体设计方法和技术；最后介绍领域特定语言的开发平台和工具、组织学生进行课堂讨论和总结，以便更好的掌握相关知识。课程至此，学生将掌握领域特定语言的主要设计方法和实践技术。 课程接下来将拓展学生对领域特定语言的认识，介绍图形化领域特定语言和领域特定建模语言相关知识，包括实例、设计方法和比较，使学生能够将领域特定语言的知识应用于更广的范围。",1,16,软件学院
嵌入式系统体系结构,$84100332$,0,2,邓仰东,???,Tuesday,$2-3$,"嵌入式系统是在特定环境下执行专用任务的计算系统，例如手机、汽车电子、智能卡、医疗保健设备以及各种消费电子设备。嵌入式系统在现代生活中扮演着极其重要的角色，人类几乎每时每刻都要依赖它们保障工作效率和生活品质。同作为计算系统，嵌入式系统在数量上已经远远超过了个人计算机，其市场总量也与不包括平板电脑的计算机产品基本持平。从软件系统角度看，当今世界上80%的代码实际在嵌入式系统上运行，而嵌入式软件的开发成本已经达到全系统成本的80%。因此，世界著名高校普遍高度重视嵌入式系统教学，设置了多种相关课程，卡内基-梅隆大学和加州大学伯克利分校还发表了论文介绍其相应教学体系和教学成果。目前，我国高校还比较缺乏针对软件工程专业学生的嵌入式系统教学。从以上考虑出发，本课程针对软件工程专业特点，从硬件、软件和系统三个角度为相关专业学生提供嵌入式系统的全景介绍，帮助软件工程专业的学生建立嵌入式系统的概念和背景知识，了解硬件设计的一般知识，掌握在系统背景下设计开发嵌入式软件的一般方法。 本课程按照软件、硬件和系统三条主线组织，以深度结合广度的方式设置教学内容。首先，针对软件工程专业学生硬件基础较为欠缺的特点，补充硬件设计的基础知识，强调从软件设计角度理解嵌入式硬件总体结构和设计方法学，介绍嵌入式硬件组织以及建模和设计方法，使得学生形成硬件系统概念并能够了解硬件设计的一般规律；在课程的第二部分，着重介绍嵌入式软件开发与传统软件开发的区别，从实时性、资源共享、代码优化、并行处理和实时操作系统等角度帮助学生形成嵌入式软件设计的基本思维方式；课程的第三部分融合硬件和软件内容，帮助学生形成系统设计的观点和方法，重点介绍软硬件协同设计、系统通信和低功耗设计技术。最后，整合全部内容，介绍系统级建模技术和设计方法学。本课程也将邀请两位工业界专家，从工业实践角度介绍嵌入式硬件和系统设计的方法和经验。学生还有机会进行两次课程设计训练，从而获得嵌入式系统开发的第一手经验。",1,16,软件学院
深度学习,$84100343$,0,3,龙明盛,???,Tuesday,$2-2$,"深度学习技术已经成为数据科学与人工智能领域中解决复杂问题的首选方案，在大数据智能分析方面发挥重要作用。本课程将从基本原理、经典模型、高效算法、实际应用等多个层面系统地讲解深度学习。主要内容包括： 1. 深度学习基础；2. 多层感知机；3. 卷积神经网络；4. 优化算法；5. 循环神经网络；6. 图神经网络；7. 变换器网络；8. 基础模型；9. 生成模型；10. 迁移学习；11. 强化学习；12. 深度学习理论；13. 深度学习应用。",1,16,软件学院
软件工程管理最佳实践,$84100351$,0,1,顾明,???,Sunday,$7-6$,"本课程通过典型案例分析与实践，让学生学习在与客户打交道过程中的有效的行为模式、透过表面期望洞悉客户内心真正需要的能力、理解客户期望并且管理客户期望的能力，掌握从双赢角度出发既最大限度满足客户需求，又保护公司利益，设计行动方案的能力。",1,16,软件学院
数智安全与标准化,$84100362$,0,2,金涛,???,Tuesday,$2-6$,"《数智安全与标准化》课程旨在系统介绍数智安全的基本理论、标准化体系、技术方法以及前沿研究。课程内容包括以下几个主要模块： 1)数智安全基础理论：探讨数智安全的基本概念、发展历程和应用场景，理解其在现代信息社会中的重要性。 2)数智安全标准和规范：系统介绍国际（如ISO/IEC标准）、国内（如GB/T标准）数智安全相关的标准和规范，讲解其制定背景、具体内容及应用案例。 3)数智安全风险评估：教授风险识别、分析与评估的方法和工具，涵盖量化风险评估模型及其应用，培养学生的风险管理能力。 4)数智安全管理体系：详细介绍信息安全管理体系（ISMS）、隐私保护管理体系及其实施策略，学习安全管理制度和流程。 5)数智安全技术：学习加密技术、网络安全防护技术、智能设备安全技术及安全监测与应急响应技术，掌握关键技术手段。 6)法规与合规：了解国内外数智安全相关的法律法规，学习合规管理与审计方法，结合实际案例进行分析。 7)数智安全的前沿研究：介绍数智安全领域的最新研究成果和前沿技术，包括人工智能与大数据在数智安全中的应用，激发学生的科研兴趣和创新能力。 通过课堂讲授、专题讨论、课后作业、大作业、网上交流、质疑与答疑、外出参访等多种教学环节，学生将全面掌握数智安全与标准化的理论知识和实践技能，具备分析和解决实际数智安全问题的能力，成为行业内的专业人才。",1,16,软件学院
云计算与新商业模式,$84108011$,0,1,王建民,???,Sunday,$7-6$,"本课程将结合云计算的前沿技术和该领域专家的最佳实践，围绕基本理论、基础知识、基本方法和基本技能等核心内容，通过丰富的典型应用案例，增强学生的实践意识和解决问题的能力；同时，保持课程的前沿性，使学生掌握本课程所涉及的关键技术。 第一章 Smart Cloud Entry 第二章 Smart Cloud Provision 第三章 Smart City with Cloud: Intelligent Water Solution 第四章 Smart City with Cloud: Logistical Cloud Solution 第五章 Smart City with Cloud: Healthcare Cloud Solution 第六章 Smart Cloud Security Management",1,16,软件学院
信息管理概论,$84108042$,0,2,叶晓俊,???,Sunday,$7-6$,"本课程将结合信息管理的前沿技术和该领域专家的最佳实践，围绕基本理论、基础知识、基本方法和基本技能等核心内容，通过丰富的典型应用案例，增强学生的实践意识和解决问题的能力；同时，保持课程的前沿性，使学生掌握本课程所涉及的关键技术。 第1章 信息管理概论 第2章 信息建模技术 第3章 信息系统需求分析 第4章 信息系统数据库设计 第5章 数据库管理技术基础 第6章 数据库物理存储设计 第7章 数据库逻辑存储设计 第8章 分布式数据库管理技术 第9章 数据仓库技术 第10章 联机分析与商务智能技术 第11章 大数据安全与隐私保护技术",1,16,软件学院
软件工程前沿技术,$84108052$,0,2,顾明,???,Sunday,$7-6$,"本课程的授课方式为专题报告形式，将按软件工程中的四个二级学科，结合实际应用案例，介绍其当今技术及未来发展趋势。",1,16,软件学院
